Title,Link,Positive %,Neutral %,Negative %,,Positive %,Neutral %,Negative %,Results
Troye Sivan,https://en.wikipedia.org/wiki/Troye_Sivan,11.00%,87.20%,1.80%,P,12.30%,85.50%,2.30%,P
Julia Roberts,https://en.wikipedia.org/wiki/Julia_Roberts,16.60%,78.30%,5.00%,P,18.00%,76.40%,5.60%,P
Jackie Chan,https://en.wikipedia.org/wiki/Jackie_Chan,12.20%,80.70%,7.10%,P,12.80%,79.20%,8.00%,P
Emma Thompson,https://en.wikipedia.org/wiki/Emma_Thompson,15.90%,79.20%,4.90%,P,17.00%,77.50%,5.50%,P
Ben Affleck,https://en.wikipedia.org/wiki/Ben_Affleck,14.00%,79.70%,6.20%,P,15.50%,77.70%,6.80%,P
Zoe Saldaña,https://en.wikipedia.org/wiki/Zoe_Salda%C3%B1a,11.30%,82.00%,6.70%,P,12.80%,80.30%,6.90%,P
Gigi Hadid,https://en.wikipedia.org/wiki/Gigi_Hadid,3.90%,93.40%,2.70%,P,4.50%,92.20%,3.30%,P
Bella Hadid,https://en.wikipedia.org/wiki/Bella_Hadid,7.80%,90.70%,1.50%,P,9.10%,89.50%,1.40%,P
Hailey Bieber,https://en.wikipedia.org/wiki/Hailey_Bieber,5.90%,92.10%,2.00%,P,6.20%,90.80%,3.10%,P
Vin Diesel,https://en.wikipedia.org/wiki/Vin_Diesel,6.90%,86.20%,6.80%,N,7.80%,84.80%,7.30%,P
Demi Lovato,https://en.wikipedia.org/wiki/Demi_Lovato,13.30%,82.00%,4.70%,P,14.50%,80.00%,5.50%,P
Ryan Reynolds,https://en.wikipedia.org/wiki/Ryan_Reynolds,12.60%,84.40%,3.00%,P,14.10%,82.50%,3.50%,P
Ryan Gosling,https://en.wikipedia.org/wiki/Ryan_Gosling,15.60%,78.70%,5.70%,P,17.40%,76.70%,5.90%,P
Margot Robbie,https://en.wikipedia.org/wiki/Margot_Robbie,15.70%,79.00%,5.40%,P,17.10%,77.10%,5.80%,P
Greta Gerwig,https://en.wikipedia.org/wiki/Greta_Gerwig,17.30%,79.70%,3.00%,P,18.60%,78.20%,3.20%,P
